"source_group","source_title","drive_id","source_type","modified_utc","drive_url","local_path","local_artifacts","import_status","pipeline_role","analysis_script","characterization_status","notes"
"physio_morphology","physio characterization log - complete","1_6CCmYHGpocI7q9XDzaJHya5NaR-SqArgd24aOSpuoM","google_sheet","2026-09-01T17:17:01.660Z","https://docs.google.com/spreadsheets/d/1_6CCmYHGpocI7q9XDzaJHya5NaR-SqArgd24aOSpuoM","data/raw/physio_morphology","physio_characterization_log_-_complete.xlsx; data.csv; SCORING_NOTES.docx","imported","analysis_input","code/04_physio_morphology.R","codebook","Current Drive CSV and workbook refreshed locally on 2026-09-01"
"microscope_physio","Microscope physio characterization","1rB5VFJqQov0ZXsPjRKnjwVDOtiPxgbfMMDm9l_9Y-Q4","google_sheet","2025-10-07T18:34:33.762Z","https://docs.google.com/spreadsheets/d/1rB5VFJqQov0ZXsPjRKnjwVDOtiPxgbfMMDm9l_9Y-Q4","data/raw/microscope_physio","data.csv; README.md","imported","analysis_input","code/11_microscope_physio.R","codebook","Separate 16-coral photo-only microscope cohort"
"buoyant_weight","Buoyant Weight - complete","1LP554ttz9qd3vcqRC7EkikJAa23t6dguxy1qZ-jiTqU","google_sheet","2026-06-04T00:52:23.259Z","https://docs.google.com/spreadsheets/d/1LP554ttz9qd3vcqRC7EkikJAa23t6dguxy1qZ-jiTqU","data/raw/buoyant_weight","Buoyant_Weight_-_complete.xlsx; data.csv; calcuations.csv; water_temp_table.csv","imported","analysis_input","code/05_buoyant_weight.R","codebook","Workbook refreshed from Drive on 2026-09-01; analysis reads tab-level CSV exports"
"buoyant_weight_archive","Copy of buoyant wt calcs.xlsx","1Muhr16u6FxPLwybLTq1TYlm_nKFZbpZL","excel_workbook","2025-07-08T00:00:00Z","https://drive.google.com/file/d/1Muhr16u6FxPLwybLTq1TYlm_nKFZbpZL","data/raw/buoyant_weight_archive","Copy_of_buoyant_wt_calcs.xlsx","imported","provenance_only","","codebook","Duplicate/working buoyant-weight calculations"
"pam","PAM log - complete","1ZByXtV709h3jtZMG8WMXCcqbyIPc-k6uvIwNWsgkul8","google_sheet","2025-09-03T22:41:24.281Z","https://docs.google.com/spreadsheets/d/1ZByXtV709h3jtZMG8WMXCcqbyIPc-k6uvIwNWsgkul8","data/raw/pam","PAM_log_-_complete.xlsx; PAM_data.csv","imported","analysis_input","code/02_pam_analysis.R","codebook","Repeated PAM Fv/Fm readings"
"chlorophyll","Example calculations (copy of Stier_05302025_test).xlsx","1-MSwEDDQEo_6-1z3kIfbRc6MYYrCwoEc","excel_workbook","2025-06-06T00:00:00Z","https://drive.google.com/file/d/1-MSwEDDQEo_6-1z3kIfbRc6MYYrCwoEc","data/raw/chlorophyll","Example_calculations_copy_of_Stier_05302025_test.xlsx","imported","provenance_only","","codebook","Example calculation workbook; chl-a not populated for this project"
"plate_layout","LTH_PlateLayout_with_IDs","1lHt-ksUymLimWg1dv1NikETNOX0RyZxqF3yclXXt8P4","google_sheet","2025-10-14T14:43:02.222Z","https://docs.google.com/spreadsheets/d/1lHt-ksUymLimWg1dv1NikETNOX0RyZxqF3yclXXt8P4","data/raw/plate_layout","LTH_PlateLayout_with_IDs.xlsx; Plate_1.csv; Plate_2.csv; Selected_Samples.csv","imported","analysis_input","code/31_rnaseq_covariate_table.R","codebook","RNA-seq plate and selected-sample manifest"
"rnaseq","PRELIM_LTH_genoclusters.csv","","email_attachment","2026-09-02T21:06:10Z","","data/raw/rnaseq","PRELIM_LTH_genoclusters.csv","imported","preliminary_analysis","code/32_prelim_snp_phenotype_integration.R","codebook","Preliminary Bay lab SNP clustering received from Rachael Bay by email on 2026-09-02; not final genotype identity"
"daily_health_log","daily health log","1Xu4_xxK5CT7Kl45ze072KqRfp_D_zI4BB1pQxO2TCKM","google_sheet","2025-06-10T20:12:30.977Z","https://docs.google.com/spreadsheets/d/1Xu4_xxK5CT7Kl45ze072KqRfp_D_zI4BB1pQxO2TCKM","data/raw/daily_health_log","data.csv","imported","provenance_only","","codebook","Mostly blank design/template log; not a current analysis input"
"printable_data_sheets","daily health log - printable","1pd4rm3YK6xzaonCdhux43OSKn3SNKIxe3Ifb7E6y7xw","google_sheet","2025-06-07T00:40:47.232Z","https://docs.google.com/spreadsheets/d/1pd4rm3YK6xzaonCdhux43OSKn3SNKIxe3Ifb7E6y7xw","data/raw/printable_data_sheets/daily_health_log_printable.csv","daily_health_log_printable.csv","imported","provenance_only","","codebook","Printable template with repeated page headers"
"printable_data_sheets","ysi daily log - printable","1x4BbhV3z2b7d5-K__BrdmJ3pYTzc1Xj70nqlF2X_uPc","google_sheet","2026-05-19T23:25:01.872Z","https://docs.google.com/spreadsheets/d/1x4BbhV3z2b7d5-K__BrdmJ3pYTzc1Xj70nqlF2X_uPc","data/raw/printable_data_sheets/ysi_daily_log_printable.csv","ysi_daily_log_printable.csv","imported","provenance_only","","codebook","Printable YSI template"
"printable_data_sheets","PAM log - printable","1F5yxlOzoF4dOXgySBiXNsSvXOPp9E-mbrzZF0GEu26k","google_sheet","2025-06-11T01:41:40.957Z","https://docs.google.com/spreadsheets/d/1F5yxlOzoF4dOXgySBiXNsSvXOPp9E-mbrzZF0GEu26k","data/raw/printable_data_sheets/pam_log_printable.csv","pam_log_printable.csv","imported","provenance_only","","codebook","Printable PAM template with top/bottom locations"
"printable_data_sheets","Color card log - printable","1MAr6eRu0Afad2JTjWL4JwAowUZFbCWQLPpwbPZSoH_A","google_sheet","2025-06-11T01:37:51.520Z","https://docs.google.com/spreadsheets/d/1MAr6eRu0Afad2JTjWL4JwAowUZFbCWQLPpwbPZSoH_A","data/raw/printable_data_sheets/color_card_log_printable.csv","color_card_log_printable.csv","imported","provenance_only","","codebook","Printable color-card template"
"methods","README_LTH_expression_by_temperature_2025","1CSPoDdCxmrnyMjcOAY_41rM-rJA3iCpy_KYCSMnaUV4","google_doc","2025-10-15T01:57:41.162Z","https://docs.google.com/document/d/1CSPoDdCxmrnyMjcOAY_41rM-rJA3iCpy_KYCSMnaUV4","docs/provenance/drive_methods/README_LTH_expression_by_temperature_2025.md","README_LTH_expression_by_temperature_2025.md","imported","methods_provenance","","documented","Project design and methods README"
"methods","Experimental Plan: Gene Expression","1hpemgLgTOVmW_sOPLGypKQO09uE6OVRauhONhu9SI8w","google_doc","2025-09-05T21:56:47.409Z","https://docs.google.com/document/d/1hpemgLgTOVmW_sOPLGypKQO09uE6OVRauhONhu9SI8w","docs/provenance/drive_methods/Experimental_Plan_Gene_Expression.md","Experimental_Plan_Gene_Expression.md","imported","methods_provenance","","documented","Experimental plan and response-variable methods"
"methods","Experimental Plan: Microscope photographs","1c0i4uat4QWKnpx4hts-h5JiyA4ry10ZulxelFwECvuM","google_doc","2025-07-30T23:31:46.990Z","https://docs.google.com/document/d/1c0i4uat4QWKnpx4hts-h5JiyA4ry10ZulxelFwECvuM","docs/provenance/drive_methods/Experimental_Plan_Microscope_Photographs.txt","Experimental_Plan_Microscope_Photographs.txt","imported","methods_provenance","","documented","Microscope photo cohort and scoring methods"
"methods","Field Notes: A. pulchra healing notes","1wfShEwuEjSP6DPPs6qeFxOPWtqXPlF5Jf_pgiHlPLUo","google_doc","2025-09-08T19:46:10.538Z","https://docs.google.com/document/d/1wfShEwuEjSP6DPPs6qeFxOPWtqXPlF5Jf_pgiHlPLUo","docs/provenance/drive_methods/Field_Notes_A_pulchra_healing_notes.txt","Field_Notes_A_pulchra_healing_notes.txt","imported","methods_provenance","","documented","Qualitative day-by-day healing interpretation"
"methods","Progress Notes","1Vx7gfNOXiNFlkPTGumnZTeGBM46Wd4lnLTFvpykGQd4","google_doc","2026-09-01T18:28:21.298Z","https://docs.google.com/document/d/1Vx7gfNOXiNFlkPTGumnZTeGBM46Wd4lnLTFvpykGQd4","docs/provenance/drive_methods/Progress_Notes.txt","Progress_Notes.txt","imported","methods_provenance","","documented","Current meeting and analysis-status notes"
"methods","sequencing-plan-keck-LTH","1dY0vX2ZywaEdcLntF6i40EytF9r7RQ58Fa1rxwOILNk","google_doc","2025-10-14T16:25:28.934Z","https://docs.google.com/document/d/1dY0vX2ZywaEdcLntF6i40EytF9r7RQ58Fa1rxwOILNk","docs/provenance/drive_methods/sequencing-plan-keck-LTH.txt","sequencing-plan-keck-LTH.txt","imported","methods_provenance","","documented","RNA-seq subset and plate-balance plan"
"photo_provenance","LTH Color Card Photos","1rqYVCS2JbRogOdNoe72fbJSQ6Nj-PyCHjXWMyXvWNXg","google_doc","2025-10-06T23:26:49.828Z","https://docs.google.com/document/d/1rqYVCS2JbRogOdNoe72fbJSQ6Nj-PyCHjXWMyXvWNXg","docs/provenance/drive_methods/LTH_Color_Card_Photos.txt; docs/provenance/nas_image_sources.md","LTH_Color_Card_Photos.txt; nas_image_sources.md","imported","methods_provenance","","documented","NAS path checked 2026-09-01: /Volumes/Stier_Lab/Moorea 2025/Moorea 2025/LTH 2025/A. pulchra/Color Card Photos; 687 files"
"photo_provenance","LTH Microscope Characterization Photos","1EgGAHo1D6nmrfbLKg6Vvlr_OAMqSlDmecwvyBcO0mRg","google_doc","2025-10-06T22:35:22.957Z","https://docs.google.com/document/d/1EgGAHo1D6nmrfbLKg6Vvlr_OAMqSlDmecwvyBcO0mRg","docs/provenance/drive_methods/LTH_Microscope_Characterization_Photos.txt; docs/provenance/nas_image_sources.md","LTH_Microscope_Characterization_Photos.txt; nas_image_sources.md","imported","methods_provenance","","documented","NAS paths checked 2026-09-01: /Volumes/Stier_Lab/Moorea 2025/Moorea 2025/LTH 2025/A. pulchra/Ambient (28C) and Heated (31C); 1026 files"
