id,treatment,tank,thicket,first_scored_day,last_scored_day,event,first_yes_day,stage_order,phase,stage,dataset,dataset_label,trait,measurement_note,event_status,plot_day,stage_label
118,28C,9,d,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
121,28C,9,c,0,15,TRUE,9,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,9,Regeneration: Axial polyp forms
129,28C,3,c,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
130,28C,12,c,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
144,28C,12,d,0,15,TRUE,6,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,6,Regeneration: Axial polyp forms
146,28C,6,d,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
166,28C,9,a,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
172,28C,3,a,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
177,28C,12,a,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
179,28C,6,a,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
110,31C,10,d,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
115,31C,5,c,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
116,31C,11,c,0,15,TRUE,9,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,9,Regeneration: Axial polyp forms
119,31C,10,c,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
126,31C,5,d,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
133,31C,4,c,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
143,31C,4,d,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
149,31C,11,d,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
152,31C,4,a,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
170,31C,5,a,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
174,31C,11,a,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
175,31C,10,a,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
113,28C,3,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
117,28C,6,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
118,28C,9,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
121,28C,9,c,0,15,TRUE,6,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,6,Regeneration: Wound surface remodels
129,28C,3,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
130,28C,12,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
144,28C,12,d,0,15,TRUE,6,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,6,Regeneration: Wound surface remodels
146,28C,6,d,0,15,TRUE,6,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,6,Regeneration: Wound surface remodels
166,28C,9,a,0,15,TRUE,6,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,6,Regeneration: Wound surface remodels
172,28C,3,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
177,28C,12,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
179,28C,6,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
110,31C,10,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
115,31C,5,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
116,31C,11,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
119,31C,10,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
126,31C,5,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
133,31C,4,c,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
143,31C,4,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
149,31C,11,d,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
152,31C,4,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
170,31C,5,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
174,31C,11,a,0,15,TRUE,4,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,4,Regeneration: Wound surface remodels
175,31C,10,a,0,15,TRUE,6,3,Regeneration,Wound surface remodels,physio_morphology,Main morphology,wound_smoothed,gross-photo smoothed wound-surface score,Reached,6,Regeneration: Wound surface remodels
113,28C,3,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
117,28C,6,c,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
118,28C,9,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
121,28C,9,c,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
129,28C,3,c,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
130,28C,12,c,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
144,28C,12,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
146,28C,6,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
166,28C,9,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
172,28C,3,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
177,28C,12,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
179,28C,6,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
110,31C,10,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
115,31C,5,c,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
116,31C,11,c,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
119,31C,10,c,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
126,31C,5,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
133,31C,4,c,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
143,31C,4,d,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
149,31C,11,d,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
152,31C,4,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
170,31C,5,a,0,15,TRUE,6,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,6,Regeneration: Axial corallite or tip forms
174,31C,11,a,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
175,31C,10,a,0,15,TRUE,8,4,Regeneration,Axial corallite or tip forms,physio_morphology,Main morphology,tip_exist,gross-photo visible regenerated-tip score,Reached,8,Regeneration: Axial corallite or tip forms
113,28C,3,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
117,28C,6,c,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
118,28C,9,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
121,28C,9,c,0,15,FALSE,NA,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Not reached by final day,16.35,Regeneration: Axial corallite or tip extends
129,28C,3,c,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
130,28C,12,c,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
144,28C,12,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
146,28C,6,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
166,28C,9,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
172,28C,3,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
177,28C,12,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
179,28C,6,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
110,31C,10,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
115,31C,5,c,0,15,TRUE,15,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,15,Regeneration: Axial corallite or tip extends
116,31C,11,c,0,15,TRUE,14,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,14,Regeneration: Axial corallite or tip extends
119,31C,10,c,0,15,TRUE,10,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,10,Regeneration: Axial corallite or tip extends
126,31C,5,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
133,31C,4,c,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
143,31C,4,d,0,15,FALSE,NA,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Not reached by final day,16.35,Regeneration: Axial corallite or tip extends
149,31C,11,d,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
152,31C,4,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
170,31C,5,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
174,31C,11,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
175,31C,10,a,0,15,TRUE,8,5,Regeneration,Axial corallite or tip extends,physio_morphology,Main morphology,tip_extension,gross-photo tip-extension score,Reached,8,Regeneration: Axial corallite or tip extends
113,28C,3,d,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
117,28C,6,c,0,15,TRUE,14,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,14,Regeneration: New radial corallites bud
118,28C,9,d,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
121,28C,9,c,0,15,TRUE,15,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,15,Regeneration: New radial corallites bud
129,28C,3,c,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
130,28C,12,c,0,15,TRUE,14,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,14,Regeneration: New radial corallites bud
144,28C,12,d,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
146,28C,6,d,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
166,28C,9,a,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
172,28C,3,a,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
177,28C,12,a,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
179,28C,6,a,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
110,31C,10,d,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
115,31C,5,c,0,15,TRUE,14,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,14,Regeneration: New radial corallites bud
116,31C,11,c,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
119,31C,10,c,0,15,TRUE,14,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,14,Regeneration: New radial corallites bud
126,31C,5,d,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
133,31C,4,c,0,15,TRUE,14,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,14,Regeneration: New radial corallites bud
143,31C,4,d,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
149,31C,11,d,0,15,TRUE,12,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Reached,12,Regeneration: New radial corallites bud
152,31C,4,a,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
170,31C,5,a,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
174,31C,11,a,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
175,31C,10,a,0,15,FALSE,NA,6,Regeneration,New radial corallites bud,physio_morphology,Main morphology,new_corallites_on_tip,gross-photo new-corallites-on-tip score,Not reached by final day,16.35,Regeneration: New radial corallites bud
