parent_id,parent_analysis,analysis_id,analysis_family,role,scripts,primary_outputs,display_items,model_or_test,diagnostics_or_qc,diagnostics_done,goodness_of_fit_done,diagnostic_outcome,remaining_gap,manuscript_use,script_paths_checked,missing_scripts,missing_primary_outputs
P3,Wound healing and regeneration,microscope_validation,Separate microscope/photo morphology cohort,support,code/11_microscope_physio.R; code/11c_morphology_dataset_plots.R,output/tables/11_microscope_event_tests.csv; output/tables/11f_morphology_dataset_endpoint_tests.csv; output/tables/11f_morphology_dataset_logrank_tests.csv,figures/11_microscope_trait_trajectories.pdf; figures/11c_morphology_dataset_all_trait_trajectories.pdf; figures/11e_morphology_dataset_event_summary.pdf,Fisher exact endpoint tests and log-rank first-observed timing tests,"Scoring coverage, endpoint balance, and test estimability checks",yes,not applicable,Cross-dataset morphology diagnostics: HANDLED=7; PASS=53,Small wounded-only photo cohort; do not pool with the main morphology models.,Supporting visual-validation result.,code/11_microscope_physio.R; code/11c_morphology_dataset_plots.R,none,none
P4,Source-patch response,source_interactions,Source-patch dependence of physiology and morphology,primary/support,code/13_genet_interaction.R; code/14_morphology_kaplan.R; code/diagnostics/D_pca_lrt.R,output/tables/13_genet_anova.csv; output/tables/13_genet_emmeans.csv; output/tables/14_cox_genet_LRT.csv,figures/13_genet_response_panel.pdf; figures/14b_morphology_KM_by_genet.pdf,Likelihood-ratio tests comparing models with and without source-patch terms,"Design-alignment audit, model reproducibility, generated DHARMa plots, PCA/LRT reproduction checks",yes,yes,INFO=14; NS=1; PASS=23 | DRIFT=2; HANDLED=4; PASS=5,Source patch is a fixed label with only three levels; final genetic identity is pending.,Supports source-patch wording and the C-resilience pattern.,code/13_genet_interaction.R; code/14_morphology_kaplan.R; code/diagnostics/D_pca_lrt.R,none,none
P4,Source-patch response,multivariate_pca,End-of-experiment multivariate physiology,support/synthesis,code/15_multivariate.R; code/diagnostics/D_pca_lrt.R,output/tables/15_pca_loadings.csv; output/tables/15_genet_pca_displacement.csv,figures/15_physio_PCA_biplot.pdf; figures/15b_physio_PCA_by_genet.pdf,PCA on centered and scaled endpoint physiology variables,"Sample-size, complete-case, centering/scaling, variance-explained, loading, and interpretation checks",yes,yes,PCA/LRT diagnostics: INFO=14; NS=1; PASS=23,"PCA is a synthesis, not a causal model; missing values are handled by complete-case filtering.",Supports the multivariate source-patch displacement claim.,code/15_multivariate.R; code/diagnostics/D_pca_lrt.R,none,none
P4,Source-patch response,source_resilience_composite,Source-patch heat-sensitivity composite,synthesis/exploratory,code/19_genet_dashboard.R; code/37_tradeoff_formal_tests.R,output/tables/19_genet_resilience_summary.csv; output/tables/19c_resilience_decomp_by_scope.csv; output/tables/37_tradeoff_heat_penalty_leave_one_trait_out.csv,figures/19_genet_dashboard.pdf; figures/19b_genet_resilience_ranking.pdf; figures/19c_decomposed_resilience.pdf,Derived row-max standardized heat-penalty score,Input decomposition and leave-one-trait-out sensitivity; no residual goodness-of-fit because this is a derived index,yes,not applicable,Leave-one-trait-out scores keep source patch C as the lowest heat-penalty source.,Do not present as a formal hypothesis test; use as a ranking/synthesis.,Useful plain-language synthesis figure.,code/19_genet_dashboard.R; code/37_tradeoff_formal_tests.R,none,none
P5,External genotype and RNA-seq bridge,rnaseq_covariates,RNA-seq phenotype covariate handoff,support,code/31_rnaseq_covariate_table.R,output/tables/31_rnaseq_phenotype_covariates.csv; output/tables/31_rnaseq_library_lookup_raw.csv,none,"Sample-level covariate table, no fitted response model",Completeness and library lookup checks printed by the script,yes,not applicable,All 144 libraries have a symbiont-density value in the current handoff.,Expression counts are not yet included; this is a handoff table.,Defines the RNA-seq analysis spine.,code/31_rnaseq_covariate_table.R,none,none
P5,External genotype and RNA-seq bridge,preliminary_snp,Preliminary SNP cluster and direct SNP-symbiont check,exploratory,code/32_prelim_snp_phenotype_integration.R,output/tables/32_prelim_snp_join_audit.csv; output/tables/32_prelim_snp_response_joinability.csv; output/tables/32_prelim_snp_symbiont_model_summary.csv; output/tables/32_prelim_snp_symbiont_nested_tests.csv,figures/32_prelim_snp_structure.pdf; figures/32_prelim_snp_design_balance.pdf; figures/32_prelim_snp_symbiont_heat_effects.pdf,Chi-square design-balance tests and exploratory LM on same-fragment symbiont density,"Join audit, design-balance checks, and coverage flag; residual diagnostics for exploratory symbiont LM not yet added",partial,partial,SNP join audit: PASS=8,"Before any SNP-phenotype inference is promoted, add residual/influence diagnostics and rerun with final SNP calls, genetic PCs or kinship, and any inversion/clone-structure flags.","Preliminary context only; keep A/C/D as source-patch labels, not confirmed genets.",code/32_prelim_snp_phenotype_integration.R,none,none
P5,External genotype and RNA-seq bridge,trinity_context,Trinity/Ross Hauru coordinate and ED50 context,support/external context,code/sensitivity/26b_trinity_hauru_context.R,output/tables/26b_trinity_hauru_table_summary.csv; output/tables/26b_trinity_hauru_nearest_source_patch_matches.csv,figures/26b_trinity_hauru_context.pdf,"Nearest-coordinate descriptive screen, no fitted model","File provenance, distance/candidate-match checks, clonal-group context, and ED50 range check",yes,not applicable,"C is closest to Apul-115 by coordinate, A and D are closest to Apul-111, and nearby colonies share clonal group 2; no source patch is assigned an external ED50.","Needs DNA-marker comparison before assigning Trinity/Ross colony IDs or ED50 values to A/C/D; Molly's forwarded context also makes clear that clones can span thickets, so distance alone is not enough.",Context only; useful for prioritizing the Apul-115/Apul-111 genetic comparison.,code/sensitivity/26b_trinity_hauru_context.R,none,none
P6,Trade-off tests,tradeoff_screens,"Exploratory growth, heat, and regeneration trade-off screens",exploratory,code/33_growth_tradeoff_screen.R; code/34_regeneration_tradeoff_screen.R; code/35_tradeoff_summary.R,output/tables/33_growth_heat_tradeoff.csv; output/tables/34_heat_tolerance_regeneration_screen.csv; output/tables/35_tradeoff_summary.csv,figures/33_growth_heat_tradeoff.pdf; figures/34_regeneration_tradeoff_screens.pdf; figures/35_tradeoff_summary.pdf,Descriptive source-patch and fragment-level screens,Join audits for growth/morphology merges; formal checks now live in script 37,yes,not applicable,"Exploratory screens are paired with formal endpoint, robust, timing, and leave-one-out checks.",Do not infer source-level slopes strongly from only three source patches.,"Useful for interpretation, not a standalone formal result.",code/33_growth_tradeoff_screen.R; code/34_regeneration_tradeoff_screen.R; code/35_tradeoff_summary.R,none,none
P6,Trade-off tests,tradeoff_formal,Formal trade-off model set,support/sensitivity,code/37_tradeoff_formal_tests.R,output/tables/37_tradeoff_main_results.csv; output/tables/37_tradeoff_model_diagnostics.csv; output/tables/37_tradeoff_heat_penalty_leave_one_trait_out.csv,figures/37_tradeoff_diagnostics/*.png; figures/35_tradeoff_summary.pdf,"Endpoint LM, robust LM, bias-reduced logistic models, Cox timing, and discrete-time transition models","Residual, influence, robust-weight, DHARMa, calibration, leverage, and Cox proportional-hazards checks",yes,yes,Trade-off diagnostics: flagged=7; passed=57,Endpoint models are small; robust and daily transition checks keep the same no-cost conclusion.,Supports the current no-strong-regeneration-cost wording.,code/37_tradeoff_formal_tests.R,none,none
P7,Repo-wide reproducibility,multiple_testing,Confirmatory versus exploratory p-value handling,diagnostic,code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv,none,Benjamini-Hochberg false-discovery-rate correction for exploratory family only,Rules encoded in script and output table,yes,not applicable,Multiple-testing table: 14 tests; 5 reported significant after confirmatory/raw or exploratory/BH rule,Keep confirmatory/exploratory labels synchronized with manuscript wording.,Supports statistical-reporting discipline.,code/sensitivity/28_multiple_testing.R,none,none
P7,Repo-wide reproducibility,model_diagnostic_coverage,Every saved model has a diagnostic artifact,diagnostic,code/sensitivity/25_model_diagnostic_coverage.R; code/diagnostics/G_diagnostic_plots.R,output/tables/25_model_diagnostic_coverage.csv; output/diagnostics/K_model_coverage_report.md; output/diagnostics/G_plot_inventory.csv,figures/diagnostics/*.png; figures/37_tradeoff_diagnostics/*.png,Model inventory coverage check,"Checks each saved model against residual, PH, ordinal, or trade-off diagnostic artifacts",yes,yes,Script 25 snapshot: 50/50 fitted models covered; 0 coverage gaps (new script 42 fits audited separately) | plot inventory: BUILT=14; CURRENT=12,Coverage says a diagnostic exists; the family-specific rows above say whether that diagnostic passed cleanly or had handled caveats.,Repo-wide diagnostic gate.,code/sensitivity/25_model_diagnostic_coverage.R; code/diagnostics/G_diagnostic_plots.R,none,none
P7,Repo-wide reproducibility,figure_and_manuscript_audits,Figure freshness and manuscript-number checks,diagnostic,code/17_figure_audit.R; code/30_manuscript_audit.R,output/tables/17_figure_audit.csv; output/tables/30_manuscript_audit.csv,figures/FIGURE_INDEX.md,File freshness checks and regenerated-number audit,Figure existence/freshness and manuscript-number cross-checks,yes,not applicable,Figure audit: PASS=105 | Manuscript audit: TRUE=15,"This catches stale outputs, but it does not evaluate statistical model fit.",Prevents prose/figure/table drift.,code/17_figure_audit.R; code/30_manuscript_audit.R,none,none
